TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,11.00,913.84,254.15,1.0065,22.55,-882.9250
100000,0.00,1024.00,55.05,0.0538,0.00,-1018.4950
150000,3.00,993.65,111.53,0.3561,12.33,-980.9970
200000,0.00,1024.00,59.95,0.0585,0.00,-1018.0050
250000,0.00,1024.00,60.00,0.0586,0.00,-1018.0000
300000,0.00,1024.00,59.95,0.0585,0.00,-1018.0050
350000,0.00,1024.00,60.00,0.0586,0.00,-1018.0000
400000,0.00,1024.00,60.00,0.0586,0.00,-1018.0000
450000,0.00,1024.00,60.00,0.0586,0.00,-1018.0000
500000,3.00,993.63,65.93,0.3244,11.67,-985.5370
550000,1.00,1013.82,55.20,0.1699,6.00,-1007.8000
600000,4.00,983.41,91.84,0.4835,9.25,-972.2260
650000,4.00,983.46,92.00,0.4566,10.50,-972.2600
700000,1.00,1013.85,61.20,0.1490,9.00,-1007.2300
750000,16.00,863.53,168.70,1.2205,21.06,-838.6600
800000,3.00,993.46,55.56,0.4105,6.00,-986.4040
850000,5.00,973.32,97.60,0.5887,10.40,-961.0600
900000,4.00,983.41,93.81,0.5354,9.25,-972.0290
950000,26.00,763.31,193.90,2.1710,21.35,-730.9200
1000000,18.00,843.38,190.24,1.4907,20.56,-815.3560
1050000,9.00,933.15,174.40,0.9335,14.56,-911.2100
1100000,19.00,832.43,163.14,1.6860,15.74,-806.6160
1150000,14.00,882.48,165.20,1.3056,13.14,-858.9600
1200000,4.00,983.47,93.86,0.4654,10.75,-972.0840
1250000,24.00,782.96,195.51,2.0423,19.67,-751.4090
1300000,3.00,993.58,93.86,0.3733,10.00,-982.6940
1350000,6.00,963.12,93.51,0.6878,9.33,-950.7690
1400000,4.00,983.47,98.86,0.4642,10.75,-971.5840
1450000,5.00,973.23,93.61,0.6147,8.60,-961.3690
1500000,8.00,943.02,89.26,0.7501,11.75,-930.0940
1550000,5.00,973.32,89.93,0.5365,10.40,-961.8270
1600000,3.00,993.65,103.23,0.3583,12.33,-981.8270
1650000,8.00,943.00,89.16,0.7685,11.50,-930.0840
1700000,20.00,822.47,179.50,1.6950,16.35,-794.5200
1750000,22.00,803.00,192.18,1.6843,19.45,-772.7820
1800000,14.00,882.82,177.14,1.2722,15.57,-858.1060
1850000,15.00,872.33,149.15,1.7717,12.87,-849.9150
1900000,26.00,763.16,184.26,1.9811,20.77,-731.7340
1950000,4.00,983.46,89.98,0.4333,10.50,-972.4620
2000000,8.00,943.33,119.95,0.7019,15.62,-927.3350
2050000,6.00,963.09,88.58,0.6693,8.83,-951.2320
2100000,4.00,983.60,89.31,0.3645,14.00,-972.6690
2150000,3.00,993.67,89.23,0.3074,13.00,-983.2470
2200000,5.00,973.35,87.09,0.5437,11.00,-962.1410
2250000,8.00,943.22,189.92,0.8429,14.25,-920.2280
2300000,9.00,932.62,111.58,1.2524,8.67,-916.9620
2350000,8.00,942.89,95.61,0.8820,10.12,-929.3290
2400000,6.00,963.10,92.13,0.7052,9.00,-950.8870
2450000,10.00,922.43,111.22,1.4241,8.30,-906.3080
2500000,7.00,952.83,91.80,0.9245,7.29,-940.1500
2550000,39.00,632.66,323.13,4.5351,20.56,-580.8470
2600000,45.00,577.57,310.84,4.2576,31.93,-523.9860
2650000,53.00,499.92,319.04,4.9490,35.17,-441.5160
2700000,51.00,517.26,335.97,5.3669,30.39,-458.1630
2750000,37.00,655.97,326.98,3.7999,29.32,-604.7720
2800000,42.00,603.28,365.03,4.8291,22.29,-545.7770
2850000,44.00,584.07,311.22,4.7093,24.16,-530.9480
2900000,19.00,834.11,216.72,1.6498,24.58,-802.9380
2950000,40.00,622.16,300.21,4.2648,19.40,-572.1390
3000000,48.00,546.19,345.05,4.7270,28.56,-487.6850
3050000,50.00,535.42,404.24,4.4960,46.84,-469.9960
3100000,35.00,674.67,371.74,3.7607,25.91,-619.9960
3150000,44.00,582.93,297.61,4.7157,21.57,-531.1690
3200000,57.00,466.32,392.54,4.8627,45.61,-398.5660
3250000,46.00,571.29,387.98,4.4195,39.85,-509.4920
3300000,35.00,678.81,320.72,3.1938,37.74,-629.2380
3350000,34.00,683.95,252.12,3.3755,23.85,-641.7380
3400000,53.00,503.12,381.35,5.0505,41.21,-438.4850
3450000,67.00,375.52,408.65,5.8312,56.12,-301.1550
3500000,59.00,448.47,397.49,5.1099,48.53,-379.2210
3550000,73.00,310.75,365.21,6.4661,46.95,-237.7290
3600000,53.00,500.34,354.58,5.2310,35.96,-438.3820
3650000,41.00,613.72,336.92,4.4111,23.32,-559.5280
3700000,53.00,509.50,414.89,4.5105,53.25,-441.5110
3750000,46.00,567.45,361.84,4.6480,31.50,-508.2660
3800000,62.00,434.98,389.38,5.0973,73.97,-365.0420
3850000,60.00,433.21,396.39,6.1573,39.35,-363.5710
3900000,55.00,490.51,401.01,4.7192,54.02,-422.9090
3950000,57.00,478.80,418.93,4.6072,67.51,-408.4070
4000000,45.00,588.80,424.41,4.1767,56.89,-523.8590
4050000,53.00,506.76,377.33,4.8163,48.08,-442.5270
4100000,53.00,501.09,368.15,5.2167,37.38,-437.7750
4150000,60.00,431.30,347.31,5.6662,36.17,-366.5690
4200000,58.00,454.62,376.09,5.4614,42.31,-388.0110
4250000,64.00,406.14,417.88,5.1994,58.59,-332.3520
4300000,58.00,467.76,394.31,4.9597,64.97,-399.3290
4350000,58.00,458.03,392.29,5.5499,48.19,-389.8010
4400000,60.00,447.58,434.33,4.8860,63.30,-374.1470
4450000,50.00,538.36,416.39,4.5623,52.72,-471.7210
4500000,49.00,551.54,379.91,4.5119,59.80,-489.0490
4550000,38.00,641.92,364.31,4.6338,18.53,-586.4890
4600000,38.00,646.70,384.55,3.9462,31.11,-589.2450
4650000,58.00,457.88,372.95,5.2547,47.93,-391.5850
4700000,44.00,588.38,379.51,4.4629,33.95,-528.4290
4750000,66.00,386.71,405.05,5.3715,58.41,-313.2050
4800000,39.00,633.77,343.82,4.1237,23.41,-579.8880
4850000,58.00,467.82,423.73,4.8502,65.07,-396.4470
4900000,62.00,428.23,428.79,4.9625,63.08,-354.3510
4950000,44.00,590.97,375.33,4.2144,39.84,-531.4370
5000000,58.00,458.55,392.88,5.3981,49.09,-390.2620
5050000,48.00,550.69,374.80,4.8256,37.94,-489.2100
5100000,53.00,507.31,413.50,4.9261,49.11,-439.4600
5150000,64.00,418.61,400.20,5.2514,78.08,-346.5900
5200000,62.00,429.62,489.20,5.4412,65.32,-349.7000
5250000,56.00,491.23,544.56,5.1687,72.62,-408.7740
5300000,71.00,337.47,505.84,7.0127,57.06,-251.3860
5350000,58.00,466.22,585.11,5.4898,62.31,-378.7090
5400000,54.00,519.55,434.48,4.3987,89.83,-449.1020
5450000,56.00,479.75,409.54,4.8668,52.12,-410.7960
5500000,47.00,555.47,475.86,5.4170,27.13,-484.3840
5550000,52.00,512.86,399.38,4.9112,41.04,-446.9220
5600000,39.00,651.63,497.91,3.3829,69.21,-582.3390
5650000,61.00,433.04,547.64,6.0403,55.21,-347.7760
5700000,57.00,469.03,527.26,5.8852,50.37,-387.8040
