TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,8.00,943.12,195.82,1.6559,13.00,-919.5380
100000,20.00,821.69,220.20,4.2009,12.45,-789.6700
150000,26.00,760.98,220.05,5.7388,12.38,-725.9750
200000,100.00,18.42,221.49,15.4399,18.42,53.7290
250000,96.00,60.87,223.14,12.1367,20.74,9.4440
300000,98.00,38.20,222.31,13.8641,18.08,33.0310
350000,100.00,20.13,223.64,12.6491,20.13,52.2340
400000,100.00,18.21,222.92,14.2233,18.21,54.0820
450000,100.00,17.72,222.87,14.3092,17.72,54.5670
500000,100.00,17.34,221.10,16.3509,17.34,54.7700
550000,100.00,23.28,222.13,13.6174,23.28,48.9330
600000,100.00,26.42,223.24,9.8538,26.42,45.9040
650000,100.00,26.02,222.20,10.2151,26.02,46.2000
700000,100.00,25.71,222.57,10.8494,25.71,46.5470
750000,100.00,27.25,223.55,10.0888,27.25,45.1050
800000,100.00,23.39,221.21,13.7119,23.39,48.7310
850000,100.00,20.60,222.56,12.7631,20.60,51.6560
900000,100.00,22.81,219.84,12.4777,22.81,49.1740
950000,99.00,104.64,221.96,9.5523,95.35,-32.9440
1000000,100.00,24.94,222.02,11.0102,24.94,47.2620
1050000,100.00,26.36,221.82,10.0902,26.36,45.8220
1100000,99.00,56.50,220.56,12.0313,46.73,15.0560
1150000,100.00,24.55,219.68,11.6884,24.55,47.4180
1200000,100.00,24.46,220.74,12.6072,24.46,47.6140
1250000,100.00,30.24,219.32,14.0593,30.24,41.6920
1300000,99.00,37.29,219.49,12.1266,27.32,34.1590
1350000,100.00,27.24,219.17,12.6351,27.24,44.6770
1400000,97.00,69.83,220.92,7.5923,40.32,0.7620
1450000,100.00,27.92,220.97,11.2298,27.92,44.1770
1500000,100.00,21.06,220.01,12.7844,21.06,50.9410
1550000,96.00,66.00,220.03,12.2850,26.08,4.0030
1600000,99.00,45.71,220.52,12.3355,35.83,25.8420
1650000,97.00,68.67,222.03,9.3221,39.12,2.0330
1700000,100.00,27.03,222.18,9.9648,27.03,45.1880
1750000,100.00,32.96,222.02,10.8447,32.96,39.2420
1800000,100.00,58.43,219.66,12.3985,58.43,13.5360
1850000,100.00,22.59,219.43,12.6359,22.59,49.3530
1900000,100.00,22.73,223.22,11.1562,22.73,49.5920
1950000,100.00,28.54,221.62,11.5187,28.54,43.6220
2000000,100.00,26.15,221.68,11.5810,26.15,46.0180
2050000,100.00,22.57,221.76,11.4502,22.57,49.6060
2100000,100.00,37.41,221.34,10.8196,37.41,34.7240
2150000,100.00,23.59,221.78,11.6024,23.59,48.5880
2200000,100.00,37.14,222.89,10.7247,37.14,35.1490
2250000,94.00,101.61,223.09,9.4675,42.73,-32.3010
2300000,100.00,25.48,221.56,10.9503,25.48,46.6760
2350000,100.00,23.83,222.07,10.9836,23.83,48.3770
2400000,100.00,48.75,220.91,10.2876,48.75,23.3410
2450000,97.00,87.53,220.23,9.8477,58.57,-17.0070
2500000,100.00,30.10,221.89,8.9310,30.10,42.0890
2550000,100.00,60.10,221.02,8.9553,60.10,12.0020
2600000,100.00,32.86,223.09,8.0368,32.86,39.4490
2650000,100.00,21.19,221.94,12.0785,21.19,51.0040
2700000,100.00,24.55,221.59,10.8807,24.55,47.6090
2750000,100.00,34.60,223.25,9.1583,34.60,37.7250
2800000,94.00,91.06,222.08,9.0412,31.51,-21.8520
2850000,100.00,38.02,223.31,9.2811,38.02,34.3110
2900000,96.00,89.38,223.33,8.2314,50.44,-19.0470
2950000,100.00,30.07,222.10,8.8999,30.07,42.1400
