TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
250000,19.00,449.75,610.76,1.9004,184.37,-379.1740
500000,27.00,413.32,597.17,2.1981,146.52,-340.1030
750000,21.00,426.13,586.97,2.2843,103.10,-356.9330
1000000,13.00,461.05,656.28,1.8854,120.08,-388.9220
1250000,13.00,458.25,629.71,1.9659,98.54,-388.7790
1500000,15.00,453.57,641.10,1.8992,122.47,-381.9600
1750000,19.00,443.32,640.26,1.9506,150.53,-369.7940
2000000,21.00,425.00,614.56,2.6692,97.71,-353.0440
2250000,15.00,442.42,604.25,2.7788,48.13,-374.4950
2500000,22.00,416.79,604.03,2.7714,79.23,-345.3870
2750000,15.00,455.91,637.55,1.9814,138.07,-384.6550
3000000,18.00,447.67,595.38,1.7683,154.61,-379.1320
3250000,20.00,424.28,610.76,2.6048,73.40,-353.2040
3500000,17.00,435.22,577.42,2.4919,60.35,-368.9780
3750000,23.00,428.74,636.17,2.3135,150.00,-353.6230
4000000,17.00,445.25,628.10,2.2132,119.35,-373.9400
4250000,20.00,431.53,636.77,2.2397,109.65,-357.8530
4500000,17.00,439.01,619.18,2.5887,82.65,-368.5920
4750000,21.00,431.18,634.62,2.3306,127.14,-357.2180
5000000,18.00,444.47,639.49,2.3528,136.83,-371.5210
