TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
250000,6.00,965.59,789.32,1.3357,50.50,-883.6580
500000,14.00,899.06,882.98,1.7664,131.57,-803.7620
750000,9.00,945.72,863.03,1.2759,154.22,-854.9170
1000000,9.00,940.16,908.31,1.6724,92.44,-844.8290
1250000,14.00,904.19,915.87,1.9762,168.21,-805.6030
1500000,7.00,966.02,932.04,1.2809,195.71,-869.3160
1750000,15.00,894.56,921.65,1.7439,161.07,-794.8950
2000000,13.00,916.09,919.73,1.5076,193.92,-817.6170
2250000,15.00,884.26,892.36,2.0803,92.40,-787.5240
2500000,13.00,900.68,933.26,2.1181,75.38,-800.8540
2750000,14.00,906.64,872.12,1.4847,185.71,-812.4280
3000000,15.00,892.51,863.12,1.6958,147.40,-798.6980
3250000,5.00,978.32,887.68,1.3654,110.40,-887.0520
3500000,9.00,948.62,878.01,1.5244,186.44,-856.3190
3750000,12.00,919.56,893.51,1.5006,153.67,-824.2090
4000000,10.00,930.00,885.37,1.7637,84.00,-836.4630
4250000,10.00,939.74,866.99,1.4791,181.40,-848.0410
4500000,8.00,951.21,901.99,1.5744,114.12,-857.0110
4750000,14.00,898.19,920.72,1.9813,125.36,-799.1180
5000000,7.00,970.67,959.87,1.2248,262.14,-871.1830
