TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,0.00,1024.00,73.00,0.0713,0.00,-1016.7000
100000,0.00,1024.00,60.00,0.0586,0.00,-1018.0000
150000,0.00,1024.00,60.15,0.0587,0.00,-1017.9850
200000,4.00,983.32,84.80,0.5422,7.00,-972.8400
250000,4.00,983.27,80.13,0.6612,5.75,-973.2570
300000,2.00,1003.64,60.10,0.2774,6.00,-996.6300
350000,0.00,1024.00,70.04,0.0684,0.00,-1016.9960
400000,1.00,1013.83,66.12,0.1781,7.00,-1006.7180
450000,1.00,1013.82,69.10,0.1901,6.00,-1006.4100
500000,0.00,1024.00,70.00,0.0684,0.00,-1017.0000
550000,21.00,817.27,291.88,1.5502,39.57,-777.5820
600000,1.00,1013.84,70.38,0.1804,8.00,-1006.3020
650000,28.00,759.86,552.90,1.9823,80.64,-690.5700
700000,16.00,864.01,297.44,1.7335,24.06,-826.2660
750000,34.00,701.25,533.54,2.4147,74.74,-630.8960
800000,5.00,973.83,240.04,0.6829,20.60,-947.3260
850000,16.00,863.79,230.62,1.4904,22.69,-832.7280
900000,7.00,954.11,239.49,0.7445,25.57,-926.6610
950000,0.00,1024.00,65.00,0.0635,0.00,-1017.5000
1000000,6.00,964.15,240.25,0.6957,26.50,-937.1250
1050000,27.00,769.80,569.08,1.8348,82.52,-699.3920
1100000,24.00,783.58,334.86,2.8570,22.25,-738.0940
1150000,27.00,767.06,562.37,1.8982,72.37,-697.3230
1200000,10.00,923.90,235.80,0.9690,23.00,-895.3200
1250000,23.00,793.63,335.92,2.7026,22.39,-748.5380
1300000,9.00,933.86,236.59,0.9081,22.44,-905.7010
1350000,26.00,775.88,559.36,2.0341,69.69,-706.9440
1400000,18.00,844.15,345.77,2.1045,24.83,-800.5730
1450000,3.00,993.65,135.93,0.4013,12.33,-978.5570
1500000,7.00,954.25,236.83,0.6791,27.57,-927.0670
1550000,4.00,983.92,233.50,0.5108,22.00,-958.5700
1600000,0.00,1024.00,65.00,0.0635,0.00,-1017.5000
1650000,7.00,953.94,238.81,0.7821,23.14,-926.5590
1700000,9.00,933.84,236.44,0.9426,22.22,-905.6960
1750000,2.00,1003.86,241.50,0.4029,17.00,-978.7100
1800000,10.00,924.01,234.94,0.9759,24.10,-895.5160
1850000,5.00,973.78,239.74,0.6882,19.60,-947.3060
1900000,7.00,953.90,241.48,0.7517,22.57,-926.2520
1950000,10.00,924.05,236.79,1.0270,24.50,-895.3710
2000000,13.00,894.32,233.65,1.1329,26.46,-864.4550
2050000,23.00,793.67,356.28,2.7837,22.57,-746.5420
2100000,8.00,943.54,236.24,0.9531,18.25,-915.9160
