TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,7.00,954.19,626.77,2.3408,26.71,-888.0130
100000,1.00,1013.83,500.87,0.9517,7.00,-963.2430
150000,10.00,924.86,1003.99,3.2282,32.60,-819.4610
200000,11.00,915.33,1202.04,4.2407,36.09,-789.6260
250000,31.00,715.39,1207.72,13.7185,28.48,-579.1180
300000,21.00,815.30,1230.82,9.1321,30.19,-681.7180
350000,25.00,775.81,1169.55,9.2447,31.24,-646.3550
400000,21.00,814.86,1098.79,7.8927,28.10,-694.4810
450000,43.00,597.44,1322.42,17.9762,32.00,-443.6980
500000,16.00,865.33,1048.13,5.9058,32.31,-752.5170
550000,20.00,826.13,946.30,7.1723,34.65,-721.5000
600000,22.00,804.58,1020.44,8.2405,26.64,-691.5360
650000,13.00,893.19,899.05,6.7903,17.77,-796.7850
700000,6.00,964.90,841.31,2.1903,39.00,-877.7690
750000,23.00,794.21,846.98,9.2467,24.91,-698.0120
800000,28.00,745.65,940.07,10.1092,29.89,-637.6430
850000,4.00,983.60,633.64,2.5349,14.00,-918.2360
900000,6.00,963.47,641.47,3.3234,15.17,-896.3230
950000,13.00,893.99,716.25,5.0968,23.92,-815.8650
1000000,22.00,803.35,920.11,10.1253,21.05,-700.3390
1050000,24.00,782.62,862.85,11.5513,18.25,-684.3350
1100000,44.00,584.83,1106.80,19.7649,25.89,-452.1500
