TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,0.00,1024.00,40.00,0.0391,0.00,-1020.0000
100000,53.00,486.05,113.73,6.1748,9.00,-448.1770
150000,74.00,274.23,110.00,7.7422,10.80,-226.2300
200000,92.00,90.60,106.36,10.9154,9.43,-33.9640
250000,93.00,80.39,102.27,10.5214,9.37,-23.6630
300000,97.00,41.04,104.28,10.7599,10.64,17.8880
350000,100.00,8.27,95.15,12.0056,8.27,51.2450
400000,100.00,9.44,98.51,11.4086,9.44,50.4110
450000,100.00,11.64,109.60,11.2608,11.64,49.3200
500000,100.00,10.37,99.97,11.2347,10.37,49.6270
550000,100.00,9.37,98.68,11.4425,9.37,50.4980
600000,100.00,9.91,101.39,11.4686,9.91,50.2290
650000,100.00,9.74,99.12,11.6677,9.74,50.1720
700000,100.00,9.69,101.66,11.9408,9.69,50.4760
750000,93.00,79.23,99.56,11.1278,8.12,-22.7740
800000,93.00,79.41,99.79,10.9818,8.31,-22.9310
850000,94.00,68.95,98.12,11.3692,7.99,-12.1380
900000,99.00,18.37,97.16,12.3526,8.21,40.8460
950000,100.00,8.25,93.94,11.9241,8.25,51.1440
1000000,95.00,58.44,99.12,11.9656,7.62,-1.0280
1050000,97.00,40.94,107.12,11.5510,10.54,18.2720
1100000,95.00,58.80,97.70,11.7072,8.00,-1.5300
1150000,94.00,69.07,100.03,11.4279,8.12,-12.0670
1200000,90.00,109.82,103.74,10.9350,8.24,-54.4460
1250000,100.00,10.26,104.09,11.6679,10.26,50.1490
1300000,88.00,129.88,100.07,10.8825,7.95,-75.8730
1350000,96.00,48.40,96.24,11.9432,7.75,9.2240
1400000,95.00,59.21,100.40,11.0783,8.43,-1.6700
1450000,100.00,10.60,103.92,11.2763,10.60,49.7920
1500000,98.00,28.59,96.62,11.6226,8.28,30.0720
1550000,100.00,8.99,97.74,11.6078,8.99,50.7840
1600000,96.00,48.71,96.96,11.4659,8.07,8.9860
1650000,100.00,9.22,98.51,11.7276,9.22,50.6310
1700000,99.00,18.93,98.20,11.4139,8.78,40.3900
1750000,100.00,10.47,105.16,11.7027,10.47,50.0460
1800000,100.00,8.76,97.82,11.5789,8.76,51.0220
1850000,100.00,9.75,101.02,11.7568,9.75,50.3520
1900000,100.00,8.75,97.52,11.7316,8.75,51.0020
1950000,96.00,48.45,94.71,11.8467,7.80,9.0210
2000000,100.00,8.31,95.23,12.2610,8.31,51.2130
2050000,94.00,69.15,100.60,11.2475,8.20,-12.0900
2100000,96.00,48.82,98.85,11.4697,8.19,9.0650
2150000,100.00,9.27,99.16,11.5439,9.27,50.6460
2200000,100.00,10.83,106.14,11.4807,10.83,49.7840
2250000,100.00,9.32,98.51,11.5588,9.32,50.5310
2300000,100.00,8.69,97.75,11.7734,8.69,51.0850
2350000,100.00,8.49,96.84,11.8334,8.49,51.1940
2400000,96.00,48.78,97.27,11.5670,8.15,8.9470
2450000,100.00,9.78,99.82,11.5504,9.78,50.2020
2500000,94.00,69.30,100.09,11.1857,8.36,-12.2910
2550000,100.00,10.19,102.29,11.4498,10.19,50.0390
2600000,100.00,9.29,98.92,11.7487,9.29,50.6020
2650000,100.00,13.37,111.03,11.1139,13.37,47.7330
2700000,100.00,8.10,93.98,12.1915,8.10,51.2980
2750000,97.00,38.71,96.57,11.4626,8.24,19.4470
2800000,100.00,9.14,96.42,11.2936,9.14,50.5020
2850000,94.00,69.40,97.02,11.1301,8.47,-12.6980
2900000,100.00,9.68,97.83,11.7775,9.68,50.1030
2950000,100.00,9.07,97.14,11.7674,9.07,50.6440
3000000,100.00,11.30,107.66,11.1725,11.30,49.4660
3050000,100.00,12.34,106.45,11.0858,12.34,48.3050
3100000,99.00,20.15,94.62,9.9965,10.01,38.8120
3150000,100.00,8.42,96.40,12.0973,8.42,51.2200
3200000,100.00,9.92,101.07,11.4863,9.92,50.1870
3250000,100.00,9.07,97.56,11.8032,9.07,50.6860
3300000,100.00,9.03,98.49,11.4443,9.03,50.8190
3350000,99.00,19.72,99.73,11.1101,9.58,39.7530
3400000,96.00,91.28,121.91,9.1018,52.42,-31.0890
3450000,100.00,9.00,97.05,11.8265,9.00,50.7050
3500000,100.00,8.54,95.72,11.6393,8.54,51.0320
3550000,95.00,59.07,96.68,11.1902,8.28,-1.9020
3600000,100.00,8.49,95.59,11.8030,8.49,51.0690
3650000,99.00,21.52,104.45,10.8827,11.39,38.4250
3700000,100.00,8.84,96.22,11.3776,8.84,50.7820
3750000,100.00,11.00,103.71,11.2013,11.00,49.3710
3800000,100.00,8.28,95.26,11.9761,8.28,51.2460
3850000,97.00,39.13,96.99,11.1126,8.67,19.0690
3900000,100.00,8.96,97.44,11.8389,8.96,50.7840
3950000,100.00,8.98,99.94,12.0839,8.98,51.0140
4000000,100.00,8.39,96.65,12.0456,8.39,51.2750
4050000,100.00,8.46,96.92,11.7487,8.46,51.2320
4100000,88.00,129.75,109.39,11.0222,7.81,-74.8110
4150000,100.00,9.38,99.04,11.4597,9.38,50.5240
4200000,100.00,8.29,93.65,12.1931,8.29,51.0750
4250000,100.00,9.25,97.27,11.8939,9.25,50.4770
4300000,100.00,9.18,97.38,11.2150,9.18,50.5580
4350000,99.00,23.09,112.93,10.6023,12.98,37.7030
4400000,100.00,8.39,95.61,11.8832,8.39,51.1710
4450000,98.00,28.80,96.84,11.4349,8.49,29.8840
4500000,100.00,8.95,97.65,11.3918,8.95,50.8150
4550000,100.00,8.59,99.91,11.9742,8.59,51.4010
4600000,100.00,8.77,98.57,11.5665,8.77,51.0870
4650000,100.00,8.87,101.35,11.8980,8.87,51.2650
4700000,100.00,8.79,99.29,12.0370,8.79,51.1390
4750000,100.00,9.77,102.83,11.6928,9.77,50.5130
4800000,100.00,8.36,95.55,11.9506,8.36,51.1950
4850000,100.00,8.30,94.20,11.8764,8.30,51.1200
4900000,100.00,9.16,98.87,11.4450,9.16,50.7270
4950000,100.00,8.75,97.53,11.6934,8.75,51.0030
5000000,100.00,9.15,96.83,11.1286,9.15,50.5330
5050000,94.00,74.05,111.70,9.8339,13.41,-15.8800
5100000,100.00,10.14,103.50,10.8259,10.14,50.2100
5150000,100.00,9.28,102.93,11.7413,9.28,51.0130
5200000,100.00,8.36,94.53,11.7009,8.36,51.0930
