TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
250000,19.00,115.49,220.04,2.4836,62.16,-83.9860
500000,21.00,113.06,221.11,2.7662,56.86,-80.4490
750000,32.00,103.99,221.10,2.9364,52.97,-65.8800
1000000,39.00,102.06,222.12,2.8972,61.49,-60.3480
1250000,39.00,101.16,222.17,3.0565,59.18,-59.4430
1500000,31.00,99.74,219.79,3.9919,36.84,-62.2610
